route_id,date,ridership_count,_source
218C,2026-06-01,3331,synthetic
218C,2026-06-02,1077,synthetic
218C,2026-06-03,4468,synthetic
218C,2026-06-04,4124,synthetic
218C,2026-06-05,1902,synthetic
218C,2026-06-06,2177,synthetic
218C,2026-06-07,1293,synthetic
218C,2026-06-08,2468,synthetic
218C,2026-06-09,1037,synthetic
218C,2026-06-10,3366,synthetic
218C,2026-06-11,2436,synthetic
218C,2026-06-12,2670,synthetic
218C,2026-06-13,1367,synthetic
218C,2026-06-14,824,synthetic
218C,2026-06-15,4788,synthetic
218C,2026-06-16,4899,synthetic
218C,2026-06-17,2994,synthetic
218C,2026-06-18,1688,synthetic
218C,2026-06-19,1233,synthetic
218C,2026-06-20,3066,synthetic
218C,2026-06-21,1039,synthetic
218C,2026-06-22,3548,synthetic
218C,2026-06-23,3508,synthetic
218C,2026-06-24,1781,synthetic
218C,2026-06-25,3997,synthetic
218C,2026-06-26,4446,synthetic
218C,2026-06-27,1204,synthetic
218C,2026-06-28,1984,synthetic
218C,2026-06-29,2975,synthetic
218C,2026-06-30,4803,synthetic
16A,2026-06-01,3216,synthetic
16A,2026-06-02,1825,synthetic
16A,2026-06-03,4018,synthetic
16A,2026-06-04,4934,synthetic
16A,2026-06-05,1269,synthetic
16A,2026-06-06,2858,synthetic
16A,2026-06-07,1943,synthetic
16A,2026-06-08,3980,synthetic
16A,2026-06-09,1492,synthetic
16A,2026-06-10,3064,synthetic
16A,2026-06-11,1578,synthetic
16A,2026-06-12,4296,synthetic
16A,2026-06-13,478,synthetic
16A,2026-06-14,1567,synthetic
16A,2026-06-15,4716,synthetic
16A,2026-06-16,1765,synthetic
16A,2026-06-17,2911,synthetic
16A,2026-06-18,1586,synthetic
16A,2026-06-19,1651,synthetic
16A,2026-06-20,1247,synthetic
16A,2026-06-21,2295,synthetic
16A,2026-06-22,708,synthetic
16A,2026-06-23,3661,synthetic
16A,2026-06-24,4831,synthetic
16A,2026-06-25,3504,synthetic
16A,2026-06-26,1505,synthetic
16A,2026-06-27,589,synthetic
16A,2026-06-28,1788,synthetic
16A,2026-06-29,3978,synthetic
16A,2026-06-30,3854,synthetic
113M,2026-06-01,3623,synthetic
113M,2026-06-02,4293,synthetic
113M,2026-06-03,3229,synthetic
113M,2026-06-04,1731,synthetic
113M,2026-06-05,2237,synthetic
113M,2026-06-06,1054,synthetic
113M,2026-06-07,1038,synthetic
113M,2026-06-08,4549,synthetic
113M,2026-06-09,2513,synthetic
113M,2026-06-10,1484,synthetic
113M,2026-06-11,4431,synthetic
113M,2026-06-12,1546,synthetic
113M,2026-06-13,2148,synthetic
113M,2026-06-14,1197,synthetic
113M,2026-06-15,3245,synthetic
113M,2026-06-16,4925,synthetic
113M,2026-06-17,2829,synthetic
113M,2026-06-18,3566,synthetic
113M,2026-06-19,3710,synthetic
113M,2026-06-20,1970,synthetic
113M,2026-06-21,1016,synthetic
113M,2026-06-22,4793,synthetic
113M,2026-06-23,3386,synthetic
113M,2026-06-24,2622,synthetic
113M,2026-06-25,4276,synthetic
113M,2026-06-26,3498,synthetic
113M,2026-06-27,2810,synthetic
113M,2026-06-28,2674,synthetic
113M,2026-06-29,2881,synthetic
113M,2026-06-30,4483,synthetic
195W,2026-06-01,1221,synthetic
195W,2026-06-02,1342,synthetic
195W,2026-06-03,3802,synthetic
195W,2026-06-04,2787,synthetic
195W,2026-06-05,4805,synthetic
195W,2026-06-06,3009,synthetic
195W,2026-06-07,1359,synthetic
195W,2026-06-08,4119,synthetic
195W,2026-06-09,4357,synthetic
195W,2026-06-10,741,synthetic
195W,2026-06-11,1622,synthetic
