stop_id,stop_name,zone_id,stop_lat,stop_lon,stop_desc
RgqMpbyP,Charminar,Charminar,17.358677937923357,78.47402769352765,CHARMINAR
ZesADyKB,Shahalibanda,Shahalibanda,17.354749930187328,78.47302439964548,SHALIBANDA twd  Charminar
CSCQevOc,Kilwat,Kilwat,17.3601274663828,78.4713749367239,KILWATH twd Afzalgunj
RcYax5EA,Moosabowli,Moosabowli,17.3642745722327,78.4666682034731,MOOSABOWLY twd CBS
UoDW1Rgg,City College,City College,17.36745264535672,78.46829028554708,CITY College twd Afzalgunj
s4V6Ks4J,Madina,Madina,17.3703739526348,78.4755915518183,MADINA twd Afzalgunj
RvkZZP0d,Afzalgunj,Afzalgunj,17.3734,78.4759,AFZALGUNJ twd Nampally
RprCTGDf,Osmangunj,Osmangunj,17.3801592673954,78.4749823530744,OSMANGUNJ twd Nampally
TB1fWaY6,Gandhibavan,Gandhibavan,17.388345659286514,78.47138822677678,GANDHI Bhavan twd Nampally
0Yr3hLAU,Nampally Railway Station,Nampally Railway Station,17.39215949442458,78.47004978666432,NAMPALLY Railway Station twd Ameerpet
48NXpBnL,Nampally Public Garden,Nampally Public Garden,17.396278,78.470819,NAMPALLY PUBLIC GAROADEN twd Ameerpet
d2BfiTmX,Assembly,Assembly,17.400243,78.470014,ASSEMBLY twd Miyapur
USn7tbeB,Lakdikapool,Lakdikapool,17.403609,78.464974,LAKDIKAPOOL twd Lingampally
FDukZMjs,Chintal Basthi,Chintal Basthi,17.408898,78.460376,CHINTHAL Basthi twd Patancheru
3UhhD7eG,Khairatabad,Khairatabad,17.414165437048904,78.45863971461557,KHAIRATABAD twd Patancheru
5g4se2Gv,Khairatabad,Khairatabad,17.415785,78.457715,KHAIRATABAD Rto twd Koti
3OS7bBog,Irram Manzil,Irram Manzil,17.420752974516326,78.45569724523418,IRRUM MANZIL TWD Patancheru
fAXfvzII,Nims Hospital,Nims Hospital,17.4230084956761,78.4543890506029,NIMS Hospital twd Patancheruvu
YY5SqKbk,Punjagutta,Punjagutta,17.426322878920914,78.45262885786775,PUNJAGUTTA twd Patancheru
DqrzaqZu,Pvr Mall Bus Stop,Pvr Mall Bus Stop,17.429381,78.450406,PVR Mall twd Patancheru
8A7oqeuK,Ameerpet,Ameerpet,17.431553,78.44765,AMEERPET twd Patancheru
Z9DjfexL,Maithrivanam,Maithrivanam,17.440045544433556,78.4423641399989,MAITRIVANAM twd Patancheru
OCMZCOeo,Sr Nagar,Sr Nagar,17.442965253360637,78.44073727726938,SR NAGAR twd Patancheru
C5vY3BnB,Esi Hospital,Esi Hospital,17.448534,78.437619,ESI Hospital twd Patancheruvu
zsjaTD5B,Erragadda,Erragadda,17.45617,78.433778,ERRAGADDA twd Patancheruvu
M2X1Ipi9,Bharath Nagar,Bharath Nagar,17.467232084021962,78.42877865316824,BHARATH Nagar twd Patancheru
3DO7lfEx,Moosapet,Moosapet,17.47081310529018,78.4266757867274,MOOSAPET twd Patancheru
lRqEgaCy,Prashanth Nagar Bus Station,Prashanth Nagar Bus Station,17.474763993804103,78.42554926383187,PRASHANTH NGR twd JBS
7XcsjLgc,Balnagar,Balnagar,17.467879257671523,78.44608425580633,BALANAGAR twd Jeedimetla
odvoWxTv,Idpl Water Tank,Idpl Water Tank,17.481725449290504,78.44902396155263,IDPL WATER TANK twd jeedimetla
eE6hZh6A,Idpl Colony,Idpl Colony,17.48791105,78.45000699,IDPL Colony twd Jagadgirigutta
m180Kw2G,Ganesh Nagar Chintal,Ganesh Nagar Chintal,17.49089,78.45099,GANESH NAGAR twd Jeedimetla
2mWqvKcq,Chintal,Chintal,17.4954,78.452103,CHINTAL twd Jeedimetla
xmSPBDXm,Quthubullapur X Road,Quthubullapur X Road,17.498897390179707,78.45175981428258,QUTHBULLAPUR X RD twd jeedimetla
CSMDq4oC,Hmt,Hmt,17.502845713132185,78.45028734281547,HMT twd Gdm
WQorkUId,Gajularam X Road,Gajularam X Road,17.510098,78.447706,GAJULARAM X Road twd Jeedimetla
G1qKP8Cw,Shapur Nagar,Shapur Nagar,17.51600121891858,78.44690233469011,SHAPUR NAGAR twd Jeedimetla
U3va4YT2,Rythu Bazar,Rythu Bazar,17.517610097781848,78.44659120793494,RYTHUBAZAR-JDM twd  jeedimetla
r2e2nKni,Sub Station-Jeedimetla,Sub Station-Jeedimetla,17.522757333829,78.443386182835,JEEDIMETLA Substation twd Jeedimetla
cR5ySdRd,Jeedimetla,Jeedimetla,17.52636037428321,78.44031216836981,JEEDIMETLA twd Gandimysamma
Tv9yBqAe,Saibaba Nagar,Saibaba Nagar,17.536032,78.434701,SAIBABA NAGAR twd Gandimaisamma
R0Cm6Ou4,Suraram X Road,Suraram X Road,17.5414896115876,78.43375414609909,SURARAM X Road twd Bahadurpalle
5E4f69aT,Bahadur Pally X Road,Bahadur Pally X Road,17.5605816217093,78.4307647277243,BAHADURPALLY X Road twd Gandimaisamma
o9dJvoaR,Gandimaisamma,Gandimaisamma,17.57507524147536,78.42319428755698,GANDIMAISAMMA twd Gagillapur
xOUsyoa9,Mehadipatnam Depot,Mehadipatnam Depot,17.392219,78.440777,MEHDIPATNAM Bus Depot
NUmq3A4e,Mehdipatnam,Mehdipatnam,17.39472517650309,78.44017263294585,MEHDIPATNAM
jQUipGEE,Nanal Nagar,Nanal Nagar,17.395128593905696,78.42734232111722,NANAL Nagar X Road twd Langarhouse
JDSxM2WM,Langar House,Langar House,17.37843771,78.4209751,LANGAR House twd Kali Mandir
7guxqq8S,Bapu-Ghat,Bapu-Ghat,17.374015,78.417593,Bapu Ghat twd Sedam
832f0Tns,Tippu Khan Bridge,Tippu Khan Bridge,17.371026393832324,78.4046226919575,TIPU KHAN BRIDGE twd KaliI Mandir
1dz6Of8P,Suncity,Suncity,17.36476225,78.39571808,SUNCITY twd Chevella
iXcFXrHu,Bandlaguda X Road,Bandlaguda X Road,17.359568003934776,78.3879889547825,BANDLAGUDA X Road twd Moinabad
VHOGEY4R,Peeram Cheru,Peeram Cheru,17.3544984086384,78.3790216386236,PEERAMCHERUVU twd Moinabad
gg1O2ENL,Kalimandir,Kalimandir,17.3523319158945,78.3770152830632,KALIMANDIR twd Moinabad
54suq5uU,Appa Junction,Appa Junction,17.350935382372132,78.35801659936408,APPA twd Moinabad
qccftrvg,Golden Farms,Golden Farms,17.35369008294187,78.34210305687256,GOLDEN FARM twd Moinabad
FLnjOddn,Osman Sagar X Rd,Osman Sagar X Rd,17.3531014085184,78.3308846424825,OSMAN Sagar X Road twd Moinabad
BAsXhVXt,Aziz Nagar X Roads,Aziz Nagar X Roads,17.344140510147906,78.32481622875423,AZIZ Nagar X Road twd Chevella
T8BKEMqk,Himayathnagar X Road,Himayathnagar X Road,17.3386325066237,78.3119065256401,HIMAYAT Nagar X Road twd Moinabad
cVsyEttO,Jbiet College Amdapur X Road Bus Stop,Jbiet College Amdapur X Road Bus Stop,17.33140703,78.29720456,JBIET College twd Chevella
dHLhPczE,Decent Poultry,Decent Poultry,17.331072578539708,78.29313397407533,DECENT POULTRIES twd Chevella
zGYSG7bl,Sathsang,Sathsang,17.330027911856615,78.2801198974909,SATSANG twd Chevella
4HJn54j9,Moinabad,Moinabad,17.328394,78.272705,MOINABAD twd Sedam
lnjUAaN4,Ayaan College,Ayaan College,17.31438034,78.25669684,AYAAN INSTITUTE OF MEDICAL SCIENCE twd Vikarabad
wlPJRBNI,Kanakamamidi,Kanakamamidi,17.31323060832708,78.24891775849083,KANAKAMAMIDI ROAD twd Vikarabad
uCKYOKAS,Kethireddy Pally X Road,Kethireddy Pally X Road,17.31019105582616,78.22889235042727,KETHIREDDYPALLY X Road twd Vikarabad
R1auSRjt,Appareddyguda X Road,Appareddyguda X Road,17.310196184866054,78.22376400154526,APPAREDDYGUDA X Road twd Vikarabad
YXAEgiIa,Tholkatta X Roads,Tholkatta X Roads,17.313455937184585,78.21691900491716,THOLKATTA X Roads twd Vikarabad
nJkfMg0G,Mudimyal,Mudimyal,17.31947984,78.20895821,MUDIMYAL twd Vikarabad
BugaVeWl,Kandawada X Road,Kandawada X Road,17.307182181327995,78.18237483236942,KANDAWADA X ROAD twd Vikarabad
3F5hR7yF,Malkapur,Malkapur,17.312,78.172,MALKAPUR twd Vikarabad
SAhnyNt4,Kesaram,Kesaram,17.30638448,78.1610097,KESARAM twd Vikarabad
oi5Cgsii,Chevella Bs,Chevella Bs,17.313487,78.138914,CHEVELLA Bus Station
fTpo5ntA,Kesaram,Kesaram,17.30654741,78.16108078,KESARAM twd Himayatsagar
rFMmZ6lY,Malkapur,Malkapur,17.312283300373174,78.17197322969923,MALKAPUR twd Hyderanad
CExXC0fB,Kandawada X Road,Kandawada X Road,17.30725133704267,78.1824137340463,KANDAWADA X ROAD twd Himayatnagar
tFPKmxrs,Mudimyal,Mudimyal,17.31962448636058,78.20908694860374,MUDIMYAL twd Himayatsagar
cIwp9JJA,Tholkatta X Roads,Tholkatta X Roads,17.31348286520384,78.21698606636582,THOLKATTA X Roads twd MGBS
jAH3WOsZ,Appareddyguda X Road,Appareddyguda X Road,17.310229763875085,78.22377171369355,APPAREDDYGUDA X Road twd Hyderbad
03dKkFHP,Kethireddy Pally X Road,Kethireddy Pally X Road,17.31026017402012,78.22901844978334,KETHIREDDYPALLY X road twd MGBS
sUYRAR1o,Kanakamamidi,Kanakamamidi,17.313248467296695,78.24879169547359,KANAKAMAMIDI ROAD twd Himayat nagar
nfkRd9nz,Ayaan College,Ayaan College,17.31466329,78.25676423,AYAAN College twd Hyderabad
4BcvWaFF,Moinabad,Moinabad,17.328963,78.27318,MOINABAD twd Hyderabad
uboghRWM,Sathsang,Sathsang,17.330242990136437,78.28014671740286,SATSANG twd Mehdipatnam
kqVSR8tV,Decent Poultry,Decent Poultry,17.33127226395826,78.2931554305028,DECENT POULTRIES twd Mehdipatnam
EhiQ5Y3H,Jbiet College Amdapur X Road Bus Stop,Jbiet College Amdapur X Road Bus Stop,17.331621766667745,78.29738259075903,JBIET College twd Mehdipatnam
vZHy3ifq,Himayathnagar X Road,Himayathnagar X Road,17.33877668838069,78.31199256372187,HIMAYATH NAGAR  X ROAD  twd Mehdipatnam
F5kjgZBH,Aziz Nagar X Roads,Aziz Nagar X Roads,17.344189191177293,78.32465795293915,AZIZ Nagar X Road twd Mehdipatnam
2QgJHKxC,Osman Sagar X Rd,Osman Sagar X Rd,17.3531973109365,78.3305561031737,OSMAN Sagar X Road twd Mehdipatnam
b8ltroJx,Golden Farms,Golden Farms,17.353754068566243,78.34207087216132,GOLDEN FARM twd Mehdipatnam
kLUdNhDw,Appa Junction,Appa Junction,17.350843348535044,78.35830717399931,APPA twd Mehdipatnam
BOZ6ud3G,Kalimandir,Kalimandir,17.352451191287,78.3768691480659,KALIMANDIR twd Mehdipatnam
Ed7fO2rc,Peeram Cheru,Peeram Cheru,17.35461106,78.37880742,PEERAMCHERU twd Mehdipatnam
IJzE9Z23,Bandlaguda X Road,Bandlaguda X Road,17.3598,78.3881,BANDLAGUDA X Road twd Mehdipatnam
dHUG4Xle,Suncity,Suncity,17.3651,78.3958,SUNCITY twd Mehdipatnam
GFxQbpHA,Tippu Khan Bridge,Tippu Khan Bridge,17.3710977510594,78.4044692202793,TIPPU KHAN BRIDGE twd Mehdipatnam
nIO17N4o,Bapu Nagar,Bapu Nagar,17.374278,78.417719,LUNGER HOUSE
9kJ7lz1Q,Langar House,Langar House,17.38158304700454,78.42183708154298,LANGER HOUSE twd Mehdipatnam
rBENVtQo,Nanal Nagar,Nanal Nagar,17.395487705634253,78.4273249243984,NANAL Nagar twd Mehidipatnam
q9jjNdnh,Mehdipatnam,Mehdipatnam,17.395273919150057,78.43979619137296,MEHDIPATNAM twd Secundrabad
F0sCusJT,Chandrayangutta,Chandrayangutta,17.327227194953696,78.47513793452589,CHANDRAYAN GUTTA twd Falaknuma
sifjiJIl,Farooqnagar,Farooqnagar,17.329644,78.470292,FAROOQNAGAR Bus Station
